Cell_Cycle_Restriction, E2F1, ,0,,0,,1,,0,,0,,0,,1,,0,,1,,0,,0,,1,,0,,1,,0,,1,,0,,0,,1,1,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1
, CyclinE, ,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,0,,0,1,0,1,1,1,0,1,0,0,,0,0,0,1,1,1,1,1,0,0,,0,1,0,0,1,1,0,1,1,0
, CyclinD, ,0,,1,,0,,0,,0,,0,,0,,1,,0,,0,,1,,0,,1,,0,,0,,0,,0,,0,,1,0,,0,1,1,1,0,1,0,0,0,1,,0,1,1,1,1,1,0,0,0,0,,0,0,1,1,0,1,1,0,0,1
, RB, ,1,,0,,1,,1,,1,,1,,1,,0,,1,,1,,0,,1,,0,,1,,1,,1,,1,,1,,1,0,,0,1,0,0,0,1,0,1,1,1,,1,1,0,0,0,0,0,1,1,1,,0,1,1,0,0,1,0,0,1,1
, p27, ,1,,0,,1,,1,,1,,1,,1,,0,,1,,1,,0,,1,,0,,1,,1,,1,,1,,1,,1,0,,0,1,0,0,0,1,0,1,1,1,,1,1,0,0,0,0,0,1,1,1,,0,1,1,0,0,1,0,0,1,1
, Myc, ,0,,0,,1,,0,,0,,0,,1,,0,,1,,0,,0,,1,,0,,1,,0,,1,,0,,0,,1,1,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1
Cell_Cycle_Phase, CyclinA, ,1,,1,,1,,1,,0,,0,,0,,0,,1,,0,,0,,0,,1,,1,,1,,1,,1,,0,,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
, CyclinB, ,0,,0,,0,,0,,1,,0,,0,,0,,0,,1,,1,,1,,0,,0,,0,,0,,0,,0,,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
, Cdh1, ,1,,1,,1,,1,,0,,0,,0,,0,,1,,0,,0,,0,,1,,1,,1,,1,,1,,0,,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
, Cdc20, ,0,,0,,0,,0,,0,,1,,1,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,,1,1,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1
, pAPC, ,0,,1,,0,,1,,0,,1,,1,,1,,1,,0,,0,,0,,0,,1,,0,,0,,1,,1,,1,1,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1
, UbcH10, ,0,,0,,0,,0,,1,,1,,1,,1,,0,,1,,1,,1,,0,,0,,0,,0,,0,,1,,1,1,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1
, Cdk1, ,1,,1,,1,,1,,0,,0,,0,,0,,1,,0,,0,,0,,1,,1,,1,,1,,1,,0,,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
, Wee1, ,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1,,1,0,0,0,1,0,1,1,1,0,,1,0,0,0,0,0,1,1,1,1,,1,1,0,0,1,0,0,1,1,0
, Mad2, ,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
, Cdc25C, ,1,,1,,1,,1,,0,,0,,0,,0,,1,,0,,0,,0,,1,,1,,1,,1,,1,,0,,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
, Cdc25A, ,0,,0,,1,,0,,0,,0,,0,,0,,1,,0,,0,,0,,0,,1,,0,,1,,0,,0,,0,1,,0,0,1,0,1,1,1,0,1,0,,0,0,0,0,1,1,1,1,1,0,,0,0,1,0,0,1,1,0,1,1
, Replication, ,0,,0,,1,,0,,0,,0,,0,,0,,1,,0,,0,,0,,0,,1,,0,,1,,0,,0,,1,0,,0,0,0,1,0,1,1,1,0,1,,0,0,0,0,0,1,1,1,1,1,,1,0,0,1,0,0,1,1,0,1
, four_N_DNA, ,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
, Metaphase, ,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
Growth_signalling, GF, ,1,,1,,1,,0,,1,,0,,0,,1,,0,,0,,1,,0,,1,,1,,0,,0,,1,,1,,1,1,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
