Cell_Cycle_Restriction, E2F1, ,1,,0,,0,,0,,1,,1,,0,,0,,1,,0,,1,,1
, CyclinE, ,1,,0,,0,,0,,1,,1,,0,,0,,1,,0,,1,,1
, CyclinD, ,1,,0,,0,,0,,1,,1,,0,,1,,1,,0,,1,,0
, RB, ,0,,1,,0,,1,,0,,1,,1,,0,,0,,1,,0,,1
, p27, ,0,,1,,0,,1,,0,,1,,1,,0,,0,,1,,0,,1
, Myc, ,1,,0,,0,,0,,1,,1,,0,,0,,1,,0,,1,,1
Cell_Cycle_Phase, CyclinA, ,1,,0,,1,,0,,1,,0,,0,,1,,1,,0,,1,,0
, CyclinB, ,0,,1,,1,,1,,0,,0,,0,,1,,1,,0,,1,,0
, Cdh1, ,0,,1,,0,,1,,0,,1,,1,,0,,0,,1,,0,,1
, Cdc20, ,1,,0,,0,,0,,1,,1,,1,,0,,0,,1,,0,,1
, pAPC, ,1,,0,,0,,0,,1,,1,,1,,0,,0,,1,,0,,1
, UbcH10, ,1,,0,,1,,0,,1,,0,,0,,1,,1,,0,,1,,0
, Cdk1, ,1,,0,,1,,0,,1,,0,,0,,1,,1,,0,,1,,0
, Wee1, ,0,,1,,0,,1,,0,,1,,1,,0,,0,,1,,0,,1
, Mad2, ,0,,1,,1,,1,,0,,0,,0,,1,,1,,0,,1,,0
, Cdc25C, ,1,,0,,1,,0,,1,,0,,0,,1,,1,,0,,1,,0
, Cdc25A, ,1,,0,,1,,0,,1,,0,,0,,1,,1,,0,,1,,0
, Replication, ,0,,1,,0,,1,,0,,1,,1,,0,,0,,1,,0,,1
, four_N_DNA, ,1,,0,,1,,0,,1,,0,,0,,1,,1,,0,,1,,0
, Metaphase, ,0,,1,,1,,1,,0,,0,,0,,1,,1,,0,,1,,0
Growth_signalling, GF, ,1,,1,,0,,0,,0,,1,,0,,1,,0,,1,,1,,0

12